track_id	source_ext	source_bytes	source_sha256	opus_bitrate_kbps	opus_bytes	opus_sha256	duration_ms	channels
ambient-zero-point	ogg	5152610	75e3c3ec193956e5db4295f61a3bcec5852b4810f5b135fb9e04d98ca346704f	96	3924554	eb91c0463a1ff98202b101289a8f7ab07f4b194140cf468a39686aad1ef5c42e	319052	2
andersen-etude	oga	2234607	d85632be31c31bff72f1190659196f0267df6c8b3f0b2cac62077b3db06ce83b	128	2152947	afdf58192abba9ea2c761dec761a27b8531e11460bdca632173b482414d13f44	122112	2
atlantean-twilight	mp3	5579577	a3ad327aa9661d95ab701860e5583dac2a59b710af6d204316ff6043ee7205d3	96	2847166	b5bc89a8f5f610b109b69d24d110ae1776b1ec43a40e971f9781fe68bc310afd	171161	2
bach-air	ogg	2758350	94b703db3b1485f1a8ddbca16f0536305ecde64f27e51e831479f673ca43b613	128	3492830	84d5787ecdbae3de9361f8a16dc5055364affb36be4082f88f4a45eb1d209302	259909	2
bach-bwv147-chorale	ogg	3726571	a7c2671225a32088f41b0da7407a8743c6325f8fbaaa6e4f0b5e97d37b16707d	128	3465098	b05847a452815a8b1ecfa48486b0224d82f67a3ba33832e3b62dc84b7cf456ad	202276	2
bach-chaconne	ogg	17635982	339769c23d6849a8e4c39aa9155d67455176c2a4c115fa65162d2b9c2f01e2ca	128	14289146	65ecb46f4351dc117603a3bdbe5fc0b5dd702ab9cdcc3f907af34b61d54acc9c	750263	2
bach-goldberg-aria	ogg	7744763	b5f9cd0939b66b133b29e03a6d149dd23770bd53b8ccb0e306495024538422e2	128	5477234	9b3c11e0599dda92ab42ad16ff14c6709f7349f3af44504acb7097fea74284d4	287065	2
bach-goldberg-aria-cc0	ogg	3694619	6bef03ec30f9adabf5beb9fe07d50d7ee32538d8ea2b04da0c038dfe0de23356	128	4554125	8202c5b2deae20e30d54286ac82d36c5a625f37a6d10215fa5ef8bc24a9ccca6	228018	2
bach-goldberg-cc0-01	ogg	2037921	0e252c0312da06d6416d61012a1840612c156ee5e7d1ff5bd95d743da2b7643a	128	2317084	98615e5f53f02ffdc3b67b82fe8fb681bb0e23efcb5ddd90b3391352000156ac	121443	2
bach-goldberg-cc0-02	ogg	1354178	d4214cdb421d79e452d09a0c50ba95719936b45fbb47343eac5e07f59ca5ddab	128	1522791	63e8bdc8d08888a3f9a8dbce424f60c1b2ace5607a133eaff624f98a6ab108e6	81185	2
bach-goldberg-cc0-03	ogg	2004011	e487ca3dd07838b672ea6ac8f5c99caa7a40a64ba86be5b07938bb297b4af700	128	2287050	7bfce4ddbfd3d647c20a972998ca045b877b6ed17a242392f7f075029beaf034	121443	2
bach-goldberg-cc0-04	ogg	1009716	5c793df33ebf3ff5ac610b14571d4b66bd9201903b80b1215acecef563b09401	128	1145950	48880fa6285b0e96fc38c79ad365ab76f404442d631790b980451408ce9fb36c	61739	2
bach-goldberg-cc0-05	ogg	2054458	76b3f78cb47b4ed8346d1962fd30fbe0df8c4c05a4a377de1411ab2f8e9adc3d	128	2398924	22d570de271940beccfa00a7f42a284dd5452d680d135b82dcf345209f99cb48	121443	2
bach-goldberg-cc0-06	ogg	1005822	09ae22d5de17261ccc097c11a3362d50e5bd089cc17aec03a865b1fe6afd2537	128	1115105	072812333642fb77520ca9d0bed25f28ee96eb9f36d9e46595ac6a785c0587cf	62048	2
bach-goldberg-cc0-07	ogg	2026185	cd7c15eda8a61d1332aa6d47b4a8cd55678a7a2eeb9caa1435ceeb1e0eb36e94	128	2419676	e3cf0758d19d60bc2faec476ace699fa5f536563d2ac64214241476d5e9b7415	121443	2
bach-goldberg-cc0-08	ogg	2040160	ffc54a7a1fe7a077369676b3e0dff2eebfdf34761998c3ef10fc16dde312e89d	128	2294660	962f4b9a8cba89c4d5cb98ba6f3cf815ed6ab2ea97c91f3d85f5281ce0e68f59	121443	2
bach-goldberg-cc0-09	ogg	1404977	ff36ee015b6837e3a0c5cae87e8ed959dd5d476d7e36d0f467e4a4228a9c46e1	128	1622458	227dcac127dd8010c0d884c9f822434cdd8e7f87a8de92528497f574dcdb5b14	83712	2
bach-goldberg-cc0-10	ogg	1331342	2fc8c1b6dcab04fdb9f8681c5c89a7e3242463ac5023bb7c9e736eb65d2acab4	128	1518187	0c5b41a226ef52f80939a342f1d8bbfa7a418976892c89ae3d5b62336f52551b	81185	2
